0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(0, 3)","(0, 6)","(0, 9)","(1, 2)","(1, 9)","(1, 12)","(1, 13)","(1, 16)","(1, 17)","(1, 18)","(1, 19)","(2, 4)","(2, 5)","(2, 7)","(2, 8)","(2, 9)","(2, 12)","(2, 13)","(2, 16)","(2, 17)","(2, 18)","(2, 19)","(3, 8)","(3, 11)","(3, 19)","(4, 6)","(4, 7)","(4, 8)","(4, 11)","(4, 13)","(4, 14)","(4, 16)","(4, 17)","(5, 8)","(5, 9)","(5, 13)","(6, 7)","(6, 8)","(6, 10)","(6, 13)","(6, 14)","(6, 16)","(6, 19)","(7, 8)","(7, 11)","(7, 13)","(7, 14)","(7, 16)","(8, 12)","(8, 13)","(8, 17)","(9, 12)","(9, 14)","(9, 15)","(9, 17)","(9, 18)","(9, 19)","(10, 11)","(10, 16)","(11, 12)","(11, 19)","(12, 13)","(12, 16)","(13, 17)","(13, 18)","(13, 19)","(14, 19)","(16, 17)","(17, 18)"
240,90
9,14,0,6,19,3,8,2,5,12,17,4,7,13,16,1,11,18,10
9,19,0,3,6,8,14,2,5,12,17,13,4,7,16,1,11,18,10
10,0,6,12,11,16,9,8,13,3,4,7,19,1,2,17,14,5,18
10,1,16,0,6,9,13,19,14,2,12,17,11,4,7,5,18,3,8
10,2,16,0,6,9,4,7,8,13,19,14,1,12,17,11,3,5,18
12,8,1,2,13,17,9,16,5,18,19,4,6,7,11,3,14,0,10
13,0,6,3,8,19,2,9,4,7,16,1,5,12,17,18,14,11,10
13,1,0,6,9,16,19,14,2,5,12,17,18,4,7,3,11,8,10
13,2,0,6,9,4,7,8,16,19,14,1,5,12,17,18,11,3,10
13,5,1,2,9,12,17,18,19,8,16,11,3,6,4,7,10,0,14
16,0,6,3,1,19,2,8,4,7,12,17,11,10,9,13,14,5,18
16,1,0,6,9,13,19,14,2,12,17,4,7,5,18,3,11,8,10
16,2,0,6,9,4,7,8,13,19,14,1,12,17,11,3,5,18,10
17,4,1,2,13,16,6,7,12,8,19,11,9,3,5,14,10,18,0
17,8,1,2,12,13,9,16,5,18,19,4,6,7,3,11,14,0,10
18,4,2,13,17,7,8,16,6,12,1,19,9,11,14,3,5,0,10
18,8,2,13,17,3,1,19,9,0,12,6,5,16,11,4,7,14,10
19,1,0,3,6,9,8,13,16,14,2,12,17,5,4,7,18,11,10
0,1,9,2,11,3,12,19,4,7,8,13,16,6,14,17,5,18,10
1,2,0,9,15,11,12,19,4,7,3,13,8,16,6,14,17,5,18,10
1,9,19,0,3,6,8,13,16,14,2,12,17,5,4,7,18,11,10
1,0,9,12,15
2,5,8,3,19,9,13,6,12,17,0,1,18,14,4,7,16,11,10
2,7,4,3,8,19,11,6,13,12,14,16,0,10,1,9,17,5,18
2,8,4,3,19,11,6,13,14,7,12,16,0,10,9,1,17,5,18
2,9,19,0,3,6,8,4,7,13,16,14,5,12,17,11,1,18,10
2,0,9,12,15
4,6,8,5,2,13,7,16,19,11,14,12,17,1,3,9,10,0,18
4,6,14,5,2,8,13,9,7,16,19,12,17,1,18,0,11,3,10
6,7,8,3,0,19,11,9,2,13,14,4,10,12,5,17,1,18,16
6,7,14,3,0,8,19,11,9,4,2,13,12,10,5,17,1,18,16
9,15,14,0,6,19,3,8,2,5,12,17,4,7,13,16,1,11,18,10
9,15,19,0,3,6,8,14,2,5,12,17,13,4,7,16,1,11,18,10
10,1,16,2,14,6,9,19,4,7,13,8,0,12,17,11,5,18,3
10,6,8,12,11,16,13,4,7,19,3,2,17,1,14,9,0,5,18
10,6,16
12,1,2,0,9
12,2,8,11,4,7,19,3,13,16,6,14,1,9,17,5,18,10,0
13,1,2,11,4,7,12,19,16,17,8,6,14,9,10,3,5,0,18
13,4,2,3,8,19,11,6,7,12,14,16,0,10,1,9,17,5,18
13,5,2,3,8,19,6,9,4,7,16,0,14,1,12,17,18,11,10
13,6,8,3,19,0,2,9,4,7,16,1,5,12,17,18,14,11,10
15,0,9,5,1,2,13,12,17,18,19,6,8,16,11,4,3,14,7,10
15,1,9,19,0,3,6,8,14,13,16,2,5,12,17,4,7,18,11,10
15,2,9,5
15,2,9,19,0,3,6,8,14,4,7,13,16,5,12,17,11,1,18,10
16,1,2,9,12,17,8,13,4,6,7,5,18,19,14,11,0,3,10
16,4,2,6,7,8,13,19,11,14,12,17,3,1,10,9,0,5,18
17,1,2,0,9
17,2,4,7,8,13,16,6,12,1,19,9,11,14,3,5,18,0,10
17,2,8,3,19,1,9,13,6,12,16,5,0,18,14,4,7,11,10
18,1,2,0,9
19,1,2,8,3,6,13,12,17,0,11,16,4,7,9,10,14,5,18
1,2,0,9,17,15,16,6,12,13,19,4,7,8,14,5,18,3,11,10
1,2,0,9,18,15,16,6,12,17,13,19,4,7,8,14,5,3,11,10
1,0,9,15,17,18
2,0,9,15,17,18
4,6,7,8,12,2,11,13,16,19,10,3,1,17,14,9,0,5,18
4,6,7,14,5,2,8,13,9,16,19,12,17,1,18,0,11,3,10
4,6,13,8,5,2,7,16,19,11,14,1,12,17,3,9,10,0,18
6,7,13,8,3,0,19,11,9,2,14,4,10,12,1,5,17,18,16
15,1,9,2,12
17,2,4,8,12,1,9,13,16,11,19,14,5,18,6,7,10,3,0
15,1,9,2,17,18
17,2,4,8,13,16,6,7,12,1,19,11,9,14,3,10,5,18,0
